time,absolute_time,de,de76,de2000,dl,da,db,dc,dh,lab_l,lab_a,lab_b,rgb_r,rgb_g,rgb_b,calibrated,sample_size_cm,de_method
3153.5063173770905,1756363888.9574623,1.8,2.4,1.8,-1.8,-0.1,1.6,-1.0,-1.2,2.8,-2.4,-1.2,2.913628472222222,11.207465277777777,11.553819444444445,True,1.6000000000000005,CIE2000
3153.598599433899,1756363889.0497444,0.8,1.0,0.8,-0.8,0.2,0.6,-0.6,-0.2,3.8,-2.1,-2.2,4.876736111111111,13.217881944444443,15.046875,True,1.6000000000000005,CIE2000
3154.630166530609,1756363890.0813115,0.7,0.5,0.7,-0.0,0.5,-0.2,-0.1,0.5,4.6,-1.8,-3.0,6.211805555555555,14.889322916666666,18.20659722222222,True,1.6000000000000005,CIE2000
3154.74241232872,1756363890.1935573,0.7,1.0,0.7,1.0,0.0,-0.3,0.2,0.2,5.6,-2.3,-3.1,7.840711805555555,17.485677083333332,20.557291666666664,True,1.6000000000000005,CIE2000
3154.853723526001,1756363890.3048685,1.2,1.5,1.2,-1.2,-0.1,1.0,-0.6,-0.8,3.4,-2.4,-1.8,4.036458333333333,12.894965277777777,14.12673611111111,True,1.6000000000000005,CIE2000
3155.0175132751465,1756363890.4686582,0.6,1.0,0.6,0.9,-0.2,-0.2,0.3,-0.0,5.5,-2.5,-3.0,7.424913194444444,17.54644097222222,20.59201388888889,True,1.6000000000000005,CIE2000
3156.101033449173,1756363891.5521784,1.4,2.2,1.4,2.1,-0.6,-0.2,0.6,-0.3,6.7,-2.9,-3.0,9.77734375,20.31987847222222,23.203125,True,1.6000000000000005,CIE2000
3156.1287791728973,1756363891.579924,2.2,2.8,2.2,-1.9,-0.2,2.0,-1.0,-1.8,2.7,-2.5,-0.8,2.5238715277777777,10.930989583333332,10.296875,True,1.6000000000000005,CIE2000
3156.2679109573364,1756363891.719056,1.3,1.2,1.3,-0.3,-0.7,0.9,-0.1,-1.1,4.3,-3.0,-1.9,5.694010416666666,15.742621527777777,16.788194444444443,True,1.6000000000000005,CIE2000
3156.353842020035,1756363891.804987,2.4,3.1,2.4,-2.2,0.1,2.2,-1.4,-1.7,2.4,-2.2,-0.6,2.5160590277777777,9.744791666666666,9.369791666666666,True,1.6000000000000005,CIE2000
3157.4355869293213,1756363892.8867319,3.1,4.0,3.1,-2.7,0.2,2.9,-1.5,-2.5,1.9,-2.1,0.1,1.6805555555555554,8.186631944444445,6.267361111111111,True,1.6000000000000005,CIE2000
3157.465247631073,1756363892.9163926,0.7,1.0,0.7,1.0,-0.2,0.1,0.1,-0.2,5.6,-2.5,-2.7,7.875434027777778,17.7265625,20.074652777777775,True,1.6000000000000005,CIE2000
3157.5951516628265,1756363893.0462966,2.5,3.7,2.5,3.4,-0.8,-1.1,1.4,0.1,8.0,-3.1,-3.9,12.08984375,23.959635416666664,28.03125,True,1.6000000000000005,CIE2000
3157.6815972328186,1756363893.1327422,1.3,1.9,1.3,1.9,-0.4,-0.3,0.5,-0.1,6.5,-2.7,-3.1,9.717013888888888,20.088975694444443,22.927083333333332,True,1.6000000000000005,CIE2000
3157.7684507369995,1756363893.2195957,1.5,2.4,1.5,2.3,-0.2,-0.7,0.7,0.3,6.9,-2.5,-3.5,10.401475694444445,20.93576388888889,24.585069444444443,True,1.6000000000000005,CIE2000
3157.857523918152,1756363893.3086689,3.9,6.0,3.9,5.5,-0.8,-2.3,2.3,0.7,10.1,-3.1,-5.1,16.19357638888889,28.45095486111111,34.41319444444444,True,1.6000000000000005,CIE2000
3157.989686727524,1756363893.4408317,1.7,2.1,1.7,-1.5,-0.2,1.5,-0.8,-1.3,3.1,-2.5,-1.3,3.389756944444444,11.884982638888888,12.684027777777777,True,1.6000000000000005,CIE2000
3159.081184864044,1756363894.5323298,3.0,4.6,3.0,4.1,-0.7,-1.8,1.9,0.5,8.7,-3.0,-4.6,14.3515625,25.84765625,30.947916666666664,True,1.6000000000000005,CIE2000
3159.112777709961,1756363894.5639226,2.6,3.4,2.6,-2.4,0.1,2.4,-1.4,-1.9,2.2,-2.2,-0.4,1.9288194444444444,9.110243055555555,8.25173611111111,True,1.6000000000000005,CIE2000
3159.3316264152527,1756363894.7827713,3.0,3.8,3.0,-2.6,0.1,2.7,-1.4,-2.3,2.0,-2.2,-0.1,1.6046006944444444,8.56857638888889,6.921875,True,1.6000000000000005,CIE2000
3159.3561141490936,1756363894.807259,2.9,3.4,2.9,-1.9,-0.7,2.6,-0.6,-2.7,2.7,-3.0,-0.2,2.1080729166666665,11.107638888888888,9.269097222222221,True,1.6000000000000005,CIE2000
3159.491431951523,1756363894.942577,2.8,3.5,2.8,-2.5,-0.0,2.5,-1.3,-2.2,2.1,-2.3,-0.3,1.677517361111111,9.02734375,7.748263888888888,True,1.6000000000000005,CIE2000
3160.609471797943,1756363896.0606167,3.0,3.8,3.0,-2.5,-0.0,2.8,-1.3,-2.5,2.1,-2.3,-0.0,1.667534722222222,8.803819444444445,6.942708333333333,True,1.6000000000000005,CIE2000
3160.641788005829,1756363896.092933,4.3,6.4,4.3,5.6,-0.4,-3.0,2.8,1.2,10.2,-2.7,-5.8,16.514756944444443,29.01128472222222,35.72395833333333,True,1.6000000000000005,CIE2000
3160.768156528473,1756363896.2193015,0.7,0.9,0.7,0.7,-0.4,-0.5,0.6,0.0,5.3,-2.7,-3.3,7.054253472222221,17.92144097222222,21.15451388888889,True,1.6000000000000005,CIE2000
3160.8531334400177,1756363896.3042784,1.0,0.9,1.0,0.3,-0.6,0.6,-0.0,-0.9,4.9,-2.9,-2.2,7.256510416666666,16.69487847222222,18.664930555555554,True,1.6000000000000005,CIE2000
3160.9877738952637,1756363896.4389188,0.3,0.3,0.3,0.1,-0.2,-0.1,0.2,-0.1,4.7,-2.5,-2.9,6.405381944444444,16.26909722222222,19.34375,True,1.6000000000000005,CIE2000
3162.1077992916107,1756363897.5589442,1.0,1.3,1.0,-1.1,-0.1,0.8,-0.5,-0.6,3.5,-2.4,-2.0,3.986545138888889,13.140190972222221,14.796875,True,1.6000000000000005,CIE2000
