time,absolute_time,de,de76,de2000,dl,da,db,dc,dh,lab_l,lab_a,lab_b,rgb_r,rgb_g,rgb_b,calibrated,sample_size_cm,de_method
3.734041452407837,1756358200.213602,21.4,21.4,21.4,-20.0,-7.5,1.5,7.6,0,30.0,-7.5,1.5,58.413333333333334,73.78333333333333,67.84555555555555,False,1.0,CIE76
3.7588908672332764,1756358200.2384515,21.5,21.5,21.5,-20.0,-7.7,1.7,7.9,0,30.0,-7.7,1.7,58.23111111111111,74.00222222222222,67.66333333333333,False,1.0,CIE76
3.8618500232696533,1756358200.3414106,21.5,21.5,21.5,-20.0,-7.7,1.8,7.9,0,30.0,-7.7,1.8,58.257777777777775,74.00555555555556,67.67,False,1.0,CIE76
3.9830551147460938,1756358200.4626157,21.4,21.4,21.4,-20.0,-7.4,1.2,7.5,0,30.0,-7.4,1.2,58.37777777777778,73.76222222222222,68.32444444444444,False,1.0,CIE76
4.135249853134155,1756358200.6148105,21.5,21.5,21.5,-20.0,-7.8,1.7,8.0,0,30.0,-7.8,1.7,58.111111111111114,74.04666666666667,67.71777777777778,False,1.0,CIE76
4.221356391906738,1756358200.700917,21.4,21.4,21.4,-20.0,-7.5,1.3,7.6,0,30.0,-7.5,1.3,58.266666666666666,73.85888888888888,68.22666666666667,False,1.0,CIE76
4.364999055862427,1756358200.8445597,21.4,21.4,21.4,-20.0,-7.4,1.3,7.5,0,30.0,-7.4,1.3,58.404444444444444,73.85,68.26444444444445,False,1.0,CIE76
4.434039115905762,1756358200.9135997,21.4,21.4,21.4,-20.0,-7.4,1.6,7.5,0,30.0,-7.4,1.6,58.80444444444444,73.8411111111111,67.95222222222222,False,1.0,CIE76
4.5874342918396,1756358201.066995,21.5,21.5,21.5,-19.9,-8.0,1.5,8.1,0,30.1,-8.0,1.5,57.65777777777778,74.33111111111111,68.16777777777777,False,1.0,CIE76
4.686903953552246,1756358201.1664646,21.4,21.4,21.4,-20.0,-7.5,1.5,7.7,0,30.0,-7.5,1.5,58.355555555555554,73.94222222222223,68.07111111111111,False,1.0,CIE76
4.7906694412231445,1756358201.27023,21.5,21.5,21.5,-19.9,-7.8,1.6,8.0,0,30.1,-7.8,1.6,58.026666666666664,74.17777777777778,67.97888888888889,False,1.0,CIE76
4.934906721115112,1756358201.4144673,21.4,21.4,21.4,-20.0,-7.4,1.6,7.6,0,30.0,-7.4,1.6,58.626666666666665,73.83777777777777,67.93888888888888,False,1.0,CIE76
5.088300704956055,1756358201.5678613,21.5,21.5,21.5,-20.0,-7.7,1.5,7.9,0,30.0,-7.7,1.5,58.102222222222224,74.11333333333333,68.06555555555556,False,1.0,CIE76
5.189210653305054,1756358201.6687713,21.4,21.4,21.4,-20.0,-7.3,1.4,7.5,0,30.0,-7.3,1.4,58.59111111111111,73.77888888888889,68.16222222222223,False,1.0,CIE76
5.310391426086426,1756358201.789952,21.4,21.4,21.4,-20.0,-7.6,1.5,7.8,0,30.0,-7.6,1.5,58.275555555555556,74.05444444444444,68.07888888888888,False,1.0,CIE76
5.42872166633606,1756358201.9082823,21.3,21.3,21.3,-20.0,-7.3,1.4,7.5,0,30.0,-7.3,1.4,58.77777777777778,73.89111111111112,68.21444444444444,False,1.0,CIE76
5.562469959259033,1756358202.0420306,21.4,21.4,21.4,-19.9,-7.8,1.7,8.0,0,30.1,-7.8,1.7,58.48,74.31333333333333,67.93222222222222,False,1.0,CIE76
5.669987916946411,1756358202.1495485,21.5,21.5,21.5,-19.9,-7.9,1.6,8.1,0,30.1,-7.9,1.6,58.062222222222225,74.27444444444444,68.03333333333333,False,1.0,CIE76
5.833275079727173,1756358202.3128357,21.4,21.4,21.4,-19.9,-7.6,1.5,7.7,0,30.1,-7.6,1.5,58.32888888888889,74.05555555555556,68.15333333333334,False,1.0,CIE76
5.922945737838745,1756358202.4025064,21.3,21.3,21.3,-20.0,-7.3,1.4,7.4,0,30.0,-7.3,1.4,58.68,73.77444444444444,68.13444444444444,False,1.0,CIE76
6.070227384567261,1756358202.549788,21.3,21.3,21.3,-19.9,-7.5,1.4,7.7,0,30.1,-7.5,1.4,58.4,74.08333333333333,68.33777777777777,False,1.0,CIE76
6.178478479385376,1756358202.658039,21.4,21.4,21.4,-19.9,-7.8,1.8,8.1,0,30.1,-7.8,1.8,58.364444444444445,74.30444444444444,67.73555555555555,False,1.0,CIE76
6.296891212463379,1756358202.7764518,21.3,21.3,21.3,-19.9,-7.4,1.4,7.6,0,30.1,-7.4,1.4,58.666666666666664,73.96666666666667,68.22444444444444,False,1.0,CIE76
6.419988393783569,1756358202.899549,21.3,21.3,21.3,-20.0,-7.3,1.3,7.4,0,30.0,-7.3,1.3,58.47555555555556,73.85666666666667,68.36222222222223,False,1.0,CIE76
6.5447163581848145,1756358203.024277,21.5,21.5,21.5,-19.9,-7.8,1.8,8.0,0,30.1,-7.8,1.8,58.24888888888889,74.19333333333333,67.75333333333333,False,1.0,CIE76
6.736842393875122,1756358203.216403,21.4,21.4,21.4,-19.9,-7.6,1.7,7.8,0,30.1,-7.6,1.7,58.50666666666667,74.08111111111111,67.80777777777777,False,1.0,CIE76
6.7967751026153564,1756358203.2763357,21.4,21.4,21.4,-19.9,-7.8,1.8,8.0,0,30.1,-7.8,1.8,58.346666666666664,74.31555555555556,67.77333333333333,False,1.0,CIE76
